Date,MarketReturn
19290907,2.557939354
19290909,2.543231202
19290910,2.49986911
19290911,2.529992533
19290912,2.505072107
19290913,2.511710548
19290914,2.517613067
19290916,2.543922124
19290917,2.528277003
19290918,2.539780663
19290919,2.540415608
19290920,2.518695055
19290921,2.517057903
19290923,2.5103877
19290924,2.472355326
19290925,2.468770411
19290926,2.492594045
19290927,2.432647159
19290928,2.440309997
19290930,2.420909533
19291001,2.404883112
19291002,2.423352614
19291003,2.334851776
19291004,2.307020343
19291005,2.397178698
19291007,2.439560818
19291008,2.439755982
19291009,2.435315627
19291010,2.469848402
19291011,2.466341217
19291014,2.454206819
19291015,2.43795997
19291016,2.363797227
19291017,2.388569822
19291018,2.333584945
19291019,2.268664612
19291021,2.238445999
19291022,2.282946306
19291023,2.15437077
19291024,2.072030719
19291025,2.103484145
19291026,2.096500578
19291028,1.860183033
19291029,1.637109883
19291030,1.836477125
19291031,1.948832795
19291104,1.865656612
19291106,1.684165537
19291107,1.721250862
19291108,1.721801662
19291111,1.625759565
19291112,1.528571658
19291113,1.443613646
19291114,1.557254912
19291115,1.654614489
19291118,1.635619515
19291119,1.678341896
19291120,1.719830508
19291121,1.757013244
19291122,1.749317526
19291125,1.730284951
19291126,1.691042088
19291127,1.70798633
19291202,1.708925722
19291203,1.756690196
19291204,1.78910113
19291205,1.781855271
19291206,1.81793784
19291207,1.837844259
19291209,1.821027985
19291210,1.827674737
19291211,1.818810514
19291212,1.729052215
19291213,1.762509376
19291214,1.784100116
19291216,1.742084558
19291217,1.753146795
19291218,1.743592145
19291219,1.701833113
19291220,1.646778812
19291221,1.673209612
19291223,1.650537621
19291224,1.658212621
19291226,1.693117997
19291227,1.689477793
19291228,1.677060131
19291230,1.689889641
19291231,1.735432167
19300102,1.719032333
19300103,1.729948189
19300104,1.742317318
19300106,1.742752898
19300107,1.73081504
19300108,1.728824603
19300109,1.750521352
19300110,1.746757731
19300111,1.738285956
19300113,1.743587728
19300114,1.746813365
19300115,1.750394333
19300116,1.740154526
19300117,1.726668328
19300118,1.730725999
19300120,1.73513935
19300121,1.745289915
19300122,1.747296999
19300123,1.763808955
19300124,1.776067428
19300125,1.789476737
19300127,1.795471484
19300128,1.785865711
19300129,1.803992248
19300130,1.808592428
19300131,1.833822293
19300201,1.848547886
19300203,1.837512055
19300204,1.852083526
19300205,1.871400757
19300206,1.856485693
19300207,1.851900173
19300208,1.867326501
19300210,1.866262125
19300211,1.876769181
19300213,1.880015992
19300214,1.881388403
19300215,1.866581877
19300217,1.877837365
19300218,1.882024943
19300219,1.868719026
19300220,1.833456298
19300221,1.85459605
19300224,1.838331242
19300225,1.838754058
19300226,1.868597037
19300227,1.873511447
19300228,1.884059316
19300301,1.895985412
19300303,1.894335905
19300304,1.904053848
